ID	DATE	LOCATION	RACE NAME	SURFACE	ORGANISATION	PLACE	ATHLETE	CATEGORY	GENDER	GRADE	TIME	DISTANCE KM	NOTES	PACE MIN/KM													
1250	21/01/2024	"Avondale, Co. Wicklow"	Leinster Intermediate Cross Country Championships	XC	Leinster	7	Ciara Broderick Farrell	Intermediate	Women		22:18.0		3rd Club Team | Check distance														
1251	21/01/2024	"Avondale, Co. Wicklow"	Leinster Masters Cross Country Championships	XC	Leinster	49	Donal Iremonger	Master	Men		28:15.0		8th in category | Check distance														
1255	11/02/2024	"Dundalk IT, Co. Louth"	National Intermediate Cross Country Championships	XC	National	18	Brigid Long	Intermediate	Women		25:32.0		5th Club Team | Check distance														
1256	11/02/2024	"Dundalk IT, Co. Louth"	National Masters Cross Country Championships	XC	National	26	Pat Collins	Master	Men		23:01.0		2nd Individual | Check distance														
1258	25/02/2024	"Dog Pond, Phoenix Park"	LVAC Cross Country Championships	XC	LVAC	1	Brigid Long	Club Championships	Women		21:38.0		Check distance														
1261	10/03/2024	"Phoenix Park, George Harrison 5k Lap at The Magazine Fort"	LVAC Avondale Cup	Road	LVAC	1	Geoffrey Alexandre		Men		16:00.0		Finish 00:25:15.00 | Handicap 00:09:15.00 | Check distance														
1270	28/04/2024	"Raheny, Dublin"	National Road Relays	Road	National	15	Brianna McGhee		Women		05:48.0		Check distance														
1278	22/05/2024	Tallaght Stadium	Dublin Graded Meeting 3	Track	Dublin	4	Brigid Long		Women		06:02.2		Check distance														
1310	06/10/2024	"Phoenix Park, Dublin"	Dublin Novice XC	XC	Dublin	7	Ciara Broderick Farrell	Novice	Women		14:51.0		3rd Team | Check distance														
1312	20/10/2024	"Dunboyne, Co. Meath"	Leinster Novice Cross Country Championships	XC	Leinster	18	Conor O'Loughlin	Novice	Men		22:01.0		BIB 1029 | Check distance														
1313	03/11/2024	"Citywest, Co. Dublin"	Dublin Senior Cross Country Championships	XC	Dublin	12	Pierce Geoghegan	Senior	Men		24:34.0		BIB 180 | Check distance														
1321	18/01/2025	"Kilcormac, Co. Offaly"	Leinster Intermediate and Master Cross Country Championships	XC	Leinster	11	Mollie O'Donnell	Intermediate	Women		19:36.0		3rd Club Team | Check distance														
1324	09/02/2025	"Westport, Co. Mayo"	National Intermediate and Master Cross Country Championships	XC	National	18	Conor O'Loughlin	Intermediate	Men	M40	29:46.0		"Bib ""480"" | Check distance"														
1377	19/10/2025	"Abbottstown, Dublin"	National Autumn Open XC Senior Masters	XC	National	5	Pierce Geoghegan	Senior	Men	M35	26:51.0		Check distance														
